0 	1.18391 	1.12472 	0.0591956 	0.95 	0.05
0.055 	1.18391 	1.11412 	0.0697969 	0.941046 	0.0589544
0.105 	1.18391 	1.10283 	0.0810856 	0.93151 	0.0684895
0.155 	1.18391 	1.08975 	0.0941572 	0.920469 	0.0795306
0.205 	1.18391 	1.07457 	0.10934 	0.907645 	0.0923551
0.255 	1.18391 	1.05691 	0.127001 	0.892728 	0.107272
0.305 	1.18391 	1.03637 	0.147537 	0.875382 	0.124618
0.355 	1.18391 	1.01254 	0.171371 	0.85525 	0.14475
0.405 	1.18391 	0.984913 	0.198999 	0.831914 	0.168086
0.455 	1.18391 	0.952719 	0.231193 	0.804721 	0.195279
0.505 	1.18391 	0.915348 	0.268564 	0.773156 	0.226844
0.555 	1.18391 	0.871976 	0.311936 	0.736521 	0.263479
0.605 	1.18391 	0.821539 	0.362373 	0.693919 	0.306081
0.655 	1.18391 	0.762978 	0.420934 	0.644455 	0.355545
0.705 	1.18391 	0.694933 	0.488979 	0.58698 	0.41302
0.755 	1.18391 	0.615905 	0.568007 	0.520229 	0.479771
0.805 	1.18391 	0.524087 	0.659825 	0.442673 	0.557327
0.855 	1.18391 	0.417363 	0.766549 	0.352529 	0.647471
0.905 	1.18391 	0.293429 	0.890483 	0.247848 	0.752152
0.955 	1.18391 	0.149444 	1.03447 	0.126229 	0.873771
0.985 	1.18391 	0.0520938 	1.13182 	0.0440014 	0.955998
1 	1.18391 	0 	1.18391 	0 	1
