0 	1.49615 	1.42134 	0.0748075 	0.95 	0.05
0.055 	1.49615 	1.35974 	0.13641 	0.908826 	0.0911736
0.105 	1.49615 	1.30263 	0.19352 	0.870655 	0.129345
0.155 	1.49615 	1.24441 	0.251741 	0.831741 	0.168259
0.205 	1.49615 	1.18507 	0.311081 	0.792079 	0.207921
0.255 	1.49615 	1.1246 	0.371555 	0.75166 	0.24834
0.305 	1.49615 	1.06297 	0.433179 	0.710471 	0.289529
0.355 	1.49615 	1.00018 	0.495975 	0.668499 	0.331501
0.405 	1.49615 	0.936187 	0.559964 	0.625731 	0.374269
0.455 	1.49615 	0.870984 	0.625167 	0.58215 	0.41785
0.505 	1.49615 	0.804542 	0.691608 	0.537742 	0.462259
0.555 	1.49615 	0.736841 	0.75931 	0.492491 	0.507509
0.605 	1.49615 	0.667855 	0.828296 	0.446382 	0.553618
0.655 	1.49615 	0.59756 	0.898591 	0.399398 	0.600602
0.705 	1.49615 	0.525931 	0.970219 	0.351523 	0.648477
0.755 	1.49615 	0.452945 	1.0432 	0.30274 	0.69726
0.805 	1.49615 	0.378574 	1.11758 	0.253032 	0.746968
0.855 	1.49615 	0.302792 	1.19335 	0.20238 	0.79762
0.905 	1.49615 	0.225573 	1.27058 	0.150769 	0.849231
0.955 	1.49615 	0.14689 	1.34926 	0.0981788 	0.901821
0.985 	1.49615 	0.0989658 	1.39718 	0.0661469 	0.933853
1 	1.49615 	0.0748075 	1.42134 	0.05 	0.95
