0 	1.18391 	0.591956 	0.591956 	0.5 	0.5
0.055 	1.18391 	0.56895 	0.614962 	0.480568 	0.519432
0.105 	1.18391 	0.547263 	0.636649 	0.46225 	0.53775
0.155 	1.18391 	0.524811 	0.659101 	0.443286 	0.556714
0.205 	1.18391 	0.501569 	0.682343 	0.423653 	0.576347
0.255 	1.18391 	0.477506 	0.706406 	0.403329 	0.596671
0.305 	1.18391 	0.452594 	0.731318 	0.382287 	0.617713
0.355 	1.18391 	0.426805 	0.757108 	0.360503 	0.639497
0.405 	1.18391 	0.400106 	0.783807 	0.337952 	0.662048
0.455 	1.18391 	0.372464 	0.811448 	0.314605 	0.685395
0.505 	1.18391 	0.343849 	0.840063 	0.290434 	0.709566
0.555 	1.18391 	0.314224 	0.869688 	0.265411 	0.734589
0.605 	1.18391 	0.283554 	0.900358 	0.239506 	0.760494
0.655 	1.18391 	0.251803 	0.932109 	0.212688 	0.787312
0.705 	1.18391 	0.218933 	0.964979 	0.184923 	0.815077
0.755 	1.18391 	0.184903 	0.99901 	0.156179 	0.843821
0.805 	1.18391 	0.149672 	1.03424 	0.126422 	0.873578
0.855 	1.18391 	0.1132 	1.07071 	0.0956153 	0.904385
0.905 	1.18391 	0.0754415 	1.10847 	0.0637222 	0.936278
0.955 	1.18391 	0.0363513 	1.14756 	0.0307044 	0.969296
0.985 	1.18391 	0.0122386 	1.17168 	0.0103374 	0.989663
1 	1.18391 	0 	1.18391 	0 	1
