0 	1.49615 	1.42134 	0.0748075 	0.95 	0.05
0.055 	1.49615 	1.35968 	0.136467 	0.908788 	0.0912121
0.105 	1.49615 	1.30252 	0.193633 	0.87058 	0.12942
0.155 	1.49615 	1.24427 	0.251882 	0.831647 	0.168353
0.205 	1.49615 	1.18492 	0.311235 	0.791976 	0.208024
0.255 	1.49615 	1.12444 	0.371714 	0.751553 	0.248447
0.305 	1.49615 	1.06281 	0.433339 	0.710364 	0.289636
0.355 	1.49615 	1.00002 	0.496132 	0.668394 	0.331606
0.405 	1.49615 	0.936035 	0.560116 	0.625629 	0.374371
0.455 	1.49615 	0.870838 	0.625313 	0.582052 	0.417948
0.505 	1.49615 	0.804405 	0.691746 	0.53765 	0.462351
0.555 	1.49615 	0.736712 	0.759438 	0.492406 	0.507594
0.605 	1.49615 	0.667737 	0.828414 	0.446303 	0.553697
0.655 	1.49615 	0.597454 	0.898697 	0.399327 	0.600673
0.705 	1.49615 	0.525838 	0.970313 	0.351461 	0.648539
0.755 	1.49615 	0.452865 	1.04329 	0.302687 	0.697313
0.805 	1.49615 	0.378509 	1.11764 	0.252989 	0.747011
0.855 	1.49615 	0.302743 	1.19341 	0.202347 	0.797653
0.905 	1.49615 	0.22554 	1.27061 	0.150747 	0.849253
0.955 	1.49615 	0.146874 	1.34928 	0.0981678 	0.901832
0.985 	1.49615 	0.0989599 	1.39719 	0.0661431 	0.933857
1 	1.49615 	0.0748075 	1.42134 	0.05 	0.95
